Ticker,date,open,high,low,close,volume,daily_return
ADANIENT,2023-10-03 05:30:00,2418.0,2424.9,2372.0,2387.25,2019899,
ADANIENT,2023-10-04 05:30:00,2402.2,2502.75,2392.25,2464.95,2857377,0.03254791077599739
ADANIENT,2023-10-05 05:30:00,2477.95,2486.5,2446.4,2466.35,1132455,0.0005679628390029556
ADANIENT,2023-10-06 05:30:00,2466.35,2514.95,2466.05,2478.1,1510035,0.004764125124171237
ADANIENT,2023-10-09 05:30:00,2440.0,2459.7,2411.3,2442.6,1408224,-0.014325491303821436
ADANIENT,2023-10-10 05:30:00,2443.0,2517.95,2443.0,2498.3,1771910,0.022803569966429293
ADANIENT,2023-10-11 05:30:00,2533.9,2538.0,2482.5,2488.6,1627836,-0.0038826401953329093
ADANIENT,2023-10-12 05:30:00,2499.9,2521.75,2490.65,2506.35,1804818,0.007132524310857535
ADANIENT,2023-10-13 05:30:00,2488.9,2495.0,2422.35,2454.55,2278682,-0.020667504538472214
ADANIENT,2023-10-16 05:30:00,2454.55,2464.7,2421.85,2429.35,803856,-0.010266647654356253
ADANIENT,2023-10-17 05:30:00,2459.95,2462.0,2423.5,2428.4,707543,-0.00039105110420478706
ADANIENT,2023-10-18 05:30:00,2440.0,2441.75,2401.05,2406.35,776977,-0.009080052709603104
ADANIENT,2023-10-19 05:30:00,2400.0,2414.7,2382.55,2402.2,1168822,-0.0017246036528352215
ADANIENT,2023-10-20 05:30:00,2398.05,2443.95,2382.05,2393.75,1240350,-0.0035176088585462395
ADANIENT,2023-10-23 05:30:00,2397.8,2412.35,2301.8,2308.65,1483549,-0.035550913838120035
ADANIENT,2023-10-25 05:30:00,2320.0,2348.05,2235.3,2257.0,1540819,-0.022372382128083568
ADANIENT,2023-10-26 05:30:00,2249.0,2249.0,2167.05,2203.2,2226073,-0.023836951705804243
ADANIENT,2023-10-27 05:30:00,2222.0,2275.0,2212.0,2261.7,1244293,0.026552287581699252
ADANIENT,2023-10-30 05:30:00,2260.05,2305.0,2250.0,2299.1,996448,0.01653623380642877
ADANIENT,2023-10-31 05:30:00,2320.0,2320.0,2276.0,2294.65,1155280,-0.0019355399939106066
ADANIENT,2023-11-01 05:30:00,2299.0,2312.25,2207.0,2217.3,1666579,-0.03370884448608713
ADANIENT,2023-11-02 05:30:00,2247.0,2297.95,2204.2,2215.3,2340997,-0.0009019979254047961
ADANIENT,2023-11-03 05:30:00,2215.3,2279.0,2215.0,2229.85,1853300,0.006567959192885775
ADANIENT,2023-11-06 05:30:00,2253.95,2260.0,2233.0,2246.0,770061,0.007242639639437609
ADANIENT,2023-11-07 05:30:00,2257.0,2260.0,2226.65,2233.35,641554,-0.005632235084594872
ADANIENT,2023-11-08 05:30:00,2245.3,2298.0,2235.0,2259.95,1169180,0.011910358877918803
ADANIENT,2023-11-09 05:30:00,2269.0,2272.6,2210.1,2214.65,1267890,-0.02004469125423114
ADANIENT,2023-11-10 05:30:00,2220.25,2237.0,2198.5,2205.1,1072597,-0.004312193800374842
ADANIENT,2023-11-12 05:30:00,2219.7,2226.0,2205.1,2211.35,148320,0.0028343385787492625
ADANIENT,2023-11-13 05:30:00,2215.5,2241.9,2195.55,2213.65,853633,0.001040088633640135
ADANIENT,2023-11-15 05:30:00,2240.0,2250.0,2220.5,2225.4,696475,0.005307975515551178
ADANIENT,2023-11-16 05:30:00,2226.0,2232.8,2196.1,2205.9,1307584,-0.00876246966837424
ADANIENT,2023-11-17 05:30:00,2205.9,2237.95,2201.0,2208.8,916518,0.0013146561494175035
ADANIENT,2023-11-20 05:30:00,2211.0,2218.5,2142.0,2149.85,1577213,-0.026688699746468814
ADANIENT,2023-11-21 05:30:00,2160.0,2232.55,2158.35,2196.65,1839502,0.021768960625159872
ADANIENT,2023-11-22 05:30:00,2205.15,2225.0,2153.5,2172.65,1247205,-0.010925727812805874
ADANIENT,2023-11-23 05:30:00,2190.0,2190.0,2160.6,2175.25,729114,0.0011966952799575825
ADANIENT,2023-11-24 05:30:00,2179.0,2251.95,2160.9,2225.45,1946259,0.023077807148603524
ADANIENT,2023-11-28 05:30:00,2301.0,2512.4,2275.0,2423.5,11972275,0.08899323732278863
ADANIENT,2023-11-29 05:30:00,2468.7,2477.65,2390.0,2396.6,4561574,-0.011099649267588219
ADANIENT,2023-11-30 05:30:00,2400.05,2409.0,2343.05,2358.55,2983879,-0.01587665859968279
ADANIENT,2023-12-01 05:30:00,2370.0,2403.35,2354.1,2362.7,1792983,0.001759555659197165
ADANIENT,2023-12-04 05:30:00,2549.95,2595.0,2487.45,2531.2,5681516,0.07131671392897965
ADANIENT,2023-12-05 05:30:00,2531.2,2999.9,2531.2,2959.35,22879079,0.16914902022756007
ADANIENT,2023-12-06 05:30:00,3080.0,3154.55,2844.85,2883.95,19355777,-0.025478567928768125
ADANIENT,2023-12-07 05:30:00,2900.0,2945.9,2853.05,2887.15,6325887,0.0011095892785937256
ADANIENT,2023-12-08 05:30:00,2902.7,2927.0,2760.0,2822.15,6959428,-0.02251355142614686
ADANIENT,2023-12-11 05:30:00,2837.05,2919.9,2811.05,2855.8,5064123,0.011923533476250414
ADANIENT,2023-12-12 05:30:00,2869.1,2895.95,2840.55,2857.65,2017772,0.0006478044680999773
ADANIENT,2023-12-13 05:30:00,2860.0,2899.1,2805.0,2875.05,2805832,0.006088919216838962
ADANIENT,2023-12-14 05:30:00,2900.95,2932.95,2887.0,2894.05,3224681,0.006608580720335322
ADANIENT,2023-12-15 05:30:00,2912.05,3000.0,2893.9,2991.8,4921484,0.033776195988320934
ADANIENT,2023-12-18 05:30:00,2993.95,3027.75,2961.1,2980.6,2315922,-0.0037435657463734673
ADANIENT,2023-12-19 05:30:00,2988.8,2994.35,2915.0,2941.25,1741493,-0.013202039857746706
ADANIENT,2023-12-20 05:30:00,2946.0,2968.0,2766.2,2783.85,3417739,-0.05351466213344669
ADANIENT,2023-12-21 05:30:00,2750.0,2821.95,2725.0,2799.75,2678577,0.005711514629020975
ADANIENT,2023-12-22 05:30:00,2815.95,2847.6,2791.4,2808.35,1513956,0.003071702830609757
ADANIENT,2023-12-26 05:30:00,2817.0,2893.75,2800.1,2865.45,2048484,0.020332223547634642
ADANIENT,2023-12-27 05:30:00,2880.7,2894.8,2833.6,2843.35,1698325,-0.0077125756861923245
ADANIENT,2023-12-28 05:30:00,2855.0,2867.35,2800.1,2809.9,4102912,-0.01176429212021024
ADANIENT,2023-12-29 05:30:00,2823.9,2863.3,2802.85,2848.95,1507086,0.013897291718566462
